id,xcenter,ycenter,aperture_sum_0,aperture_sum_1,residual_aperture_sum,count_err,mag_inst_err,mag_inst,mag_obj,mag_obj_err
1,451.07477,23.498941,6731.3999,61098.204,1639.8828,2282.4174,0.36812856,-8.0370321,18.274330900000002,0.37113196906602036
4,878.14924,65.115261,6288.509,56190.697,1605.9509,2188.934,0.37791559,-8.0143307,18.297032299999998,0.3808418240427331
5,611.88096,82.726405,7730.1733,59674.415,2757.3054,2255.9444,0.31684656,-8.6012122,17.7101508,0.3203311479687567
6,179.81801,89.337108,6008.3822,65454.651,553.828,2362.0697,0.42682024,-6.8584373,19.4529257,0.4294133428863215
7,1.5038945,94.618911,4331.0849,31953.397,1668.3018,1651.4384,0.41397633,-8.0556865,18.2556765,0.4166493772651254
8,635.99904,105.78798,5252.1514,59311.825,309.49928,2248.5453,0.46480871,-6.2266491,20.0847139,0.4671910087608836
9,626.94855,118.33848,4943.613,58811.9,42.621348,2238.9979,0.49172134,-4.074068,22.237295,0.493973863667445
10,845.228,153.41465,5301.4324,57422.525,516.22199,2212.5222,0.45311064,-6.7820912,19.5292718,0.45555411737394885
11,676.3347,159.44161,7539.3997,58731.583,2645.1011,2238.0513,0.32228724,-8.5561057,17.7552573,0.32571362704370466
12,967.65764,165.52465,12744.995,55517.015,8118.5769,2177.2846,0.185475,-9.7736998,16.5376632,0.1913668659934314
13,738.70973,169.53589,8093.8752,58713.317,3201.0988,2237.8279,0.30017881,-8.7632477,17.5481153,0.3038546029734683
14,682.69357,196.76727,9543.558,58655.265,4655.6192,2237.0481,0.25449242,-9.1699436,17.1414194,0.2588178773048808
15,965.66779,212.84965,5890.0699,54658.032,1335.2339,2158.8485,0.39793447,-7.8138934,18.4974696,0.4007145420237813
16,1061.0115,225.09564,11779.281,55050.31,7191.7547,2167.9237,0.19981821,-9.6420872,16.6692758,0.20529885246331023
17,612.46109,243.64883,5597.3408,58783.548,698.71182,2238.6051,0.43421576,-7.1107452,19.2006178,0.4367649573941636
18,26.876777,249.32447,5522.3389,64422.947,153.76,2343.3107,0.46069836,-5.4671084,20.8442546,0.46310180379894605
19,12.650647,256.84444,5408.464,54987.831,826.1447,2165.2266,0.43464957,-7.2926403,19.018722699999998,0.43719623794851303
22,389.04745,277.37035,6699.9378,69811.494,882.31334,2439.4192,0.39529881,-7.3640571,18.9473059,0.3980972883135026
23,191.42645,280.84466,8268.969,65484.682,2811.9121,2363.0889,0.31026911,-8.6225044,17.6888586,0.3138267394524247
24,332.16715,288.80044,1293351.1,162526.14,1279807.3,3889.219,0.0032647941,-15.267861,11.043502,0.047233046224685986
25,152.39813,302.39749,6160.2081,64639.483,773.58451,2347.3745,0.41371078,-7.2212694,19.0900936,0.4163855320053236
26,614.65927,305.39704,6492.0127,59032.706,1572.6206,2243.5345,0.37520035,-7.9915599,18.3198031,0.37814759607231463
27,910.59301,308.38985,5992.841,55684.793,1352.4415,2179.0116,0.39476317,-7.8277963,18.4835667,0.397565418721997
